id,slider_values,article_number,user_id,time_spent,submit_date
299,91,A1,e2da9eb8-cc40-487f-a517-59315f549320,22,2025-04-24 16:05:38.532+00
300,78,B,e2da9eb8-cc40-487f-a517-59315f549320,17,2025-04-24 16:06:02.781+00
302,95,A1,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,344,2025-04-24 19:58:51.461+00
303,70,B,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,178,2025-04-24 20:01:57.148+00
329,83,A1,8209ef2d-e1e9-4c96-893d-73f116dd0b91,49,2025-04-28 08:35:38.512+00
330,62,B,8209ef2d-e1e9-4c96-893d-73f116dd0b91,31,2025-04-28 08:36:24.488+00
331,55,A4,ee5f19c4-8b38-47da-b1f0-71d0216f0e6b,12,2025-04-28 08:39:13.237+00
332,47,B,ee5f19c4-8b38-47da-b1f0-71d0216f0e6b,14,2025-04-28 08:39:37.869+00
333,78,A1,59403350-4831-486f-87bd-05469ac625f7,20,2025-04-28 09:03:22.842+00
334,53,B,59403350-4831-486f-87bd-05469ac625f7,55,2025-04-28 09:04:35.671+00
335,33,B,d8587347-40f0-4a58-9f15-d6102a3000a5,37,2025-04-28 09:55:10.537+00
336,55,A1,d8587347-40f0-4a58-9f15-d6102a3000a5,34,2025-04-28 09:55:51.873+00
337,35,A4,02024766-c912-4041-822d-666130719077,226,2025-04-28 09:59:03.064+00
338,70,B,2c520f1b-7324-4326-8aa6-164018175e3a,311,2025-04-28 10:03:00.137+00
339,30,B,02024766-c912-4041-822d-666130719077,186,2025-04-28 10:02:16.946+00
340,55,A1,2c520f1b-7324-4326-8aa6-164018175e3a,350,2025-04-28 10:08:59.823+00
341,100,A1,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,167,2025-04-28 10:14:18.658+00
342,70,B,6cb40a9b-72b4-4114-a4c6-f7ea062aab18,46,2025-04-28 10:15:13.356+00
344,80,B,896b7477-2df5-4e84-80ed-6425cc2868a3,178,2025-04-28 10:21:39.914+00
345,30,A1,896b7477-2df5-4e84-80ed-6425cc2868a3,187,2025-04-28 10:24:57.049+00
346,35,B,37747f30-9e8c-411c-adea-ed033d938310,235,2025-04-28 10:44:48.449+00
347,76,A4,37747f30-9e8c-411c-adea-ed033d938310,179,2025-04-28 10:47:55.837+00
348,0,A1,70f57256-c961-497c-b945-93f8025239ba,475,2025-04-28 11:00:16.277+00
349,85,A1,3babbbec-80c0-416b-92d1-89a3c8fba47e,167,2025-04-28 11:01:32.441+00
350,100,B,70f57256-c961-497c-b945-93f8025239ba,84,2025-04-28 11:01:49.014+00
351,90,B,3babbbec-80c0-416b-92d1-89a3c8fba47e,78,2025-04-28 11:06:28.244+00
352,62,A4,af630123-73fe-4931-9eb9-caff805c6830,290,2025-04-28 11:07:58.337+00
353,86,B,af630123-73fe-4931-9eb9-caff805c6830,112,2025-04-28 11:09:57.156+00
354,50,B,f65930f4-8f62-455a-8bf9-c88b3e2a1299,184,2025-04-28 11:51:21.102+00
355,40,A4,f65930f4-8f62-455a-8bf9-c88b3e2a1299,246,2025-04-28 11:55:37.822+00
356,15,B,1ab2e1be-e468-4f3c-8c1a-8b2617f11fdb,269,2025-04-28 12:34:49.546+00
357,75,A1,1ab2e1be-e468-4f3c-8c1a-8b2617f11fdb,254,2025-04-28 12:39:32.96+00
358,75,B,9e9c5dd2-4f93-4c6f-83ab-835a5658736b,512,2025-04-28 13:06:31.234+00
359,30,A4,9e9c5dd2-4f93-4c6f-83ab-835a5658736b,497,2025-04-28 13:14:58.594+00
360,100,B,70f57256-c961-497c-b945-93f8025239ba,20,2025-04-28 13:18:33.534+00
361,5,A1,addaeace-89a3-4591-9df0-6bdbb492557e,2428,2025-04-28 14:32:46.614+00
362,90,B,addaeace-89a3-4591-9df0-6bdbb492557e,141,2025-04-28 14:35:16.601+00
364,65,B,157e096a-ed11-44d4-9929-f7368d09f78d,320,2025-04-28 14:43:59.281+00
365,76,A1,157e096a-ed11-44d4-9929-f7368d09f78d,113,2025-04-28 14:46:00.481+00
366,65,B,60ad7b2f-6879-4dcf-a0be-c74c1798f690,311,2025-04-28 18:07:18.132+00
367,75,A4,60ad7b2f-6879-4dcf-a0be-c74c1798f690,240,2025-04-28 18:11:27.93+00
368,100,A1,6f8812e4-38dd-4c38-ad96-310828f080e1,158,2025-04-29 07:52:14.94+00
369,10,A4,3b1f522c-af95-4d31-9146-a711bbbbe6c3,122,2025-04-29 07:52:47.841+00
370,86,B,6f8812e4-38dd-4c38-ad96-310828f080e1,91,2025-04-29 07:54:39.034+00
371,50,B,3b1f522c-af95-4d31-9146-a711bbbbe6c3,119,2025-04-29 07:54:54.906+00
372,40,A4,71eaed04-ce1e-4525-9b55-e122942c7302,148,2025-04-29 07:55:48.361+00
373,75,B,7923995d-56f2-4a6e-9bf8-ce33fdc2e100,257,2025-04-29 07:56:44.774+00
374,70,B,209fafcc-043f-46e5-917c-ca9c40129471,174,2025-04-29 07:59:21.388+00
375,40,A4,209fafcc-043f-46e5-917c-ca9c40129471,146,2025-04-29 08:01:55.88+00
376,40,A1,7923995d-56f2-4a6e-9bf8-ce33fdc2e100,333,2025-04-29 08:02:27.271+00
377,90,B,71eaed04-ce1e-4525-9b55-e122942c7302,284,2025-04-29 08:05:01.362+00
378,75,B,6995ddf6-3f33-4a50-b0cd-44c865cdef85,225,2025-04-29 08:05:33.318+00
379,47,A4,6995ddf6-3f33-4a50-b0cd-44c865cdef85,247,2025-04-29 08:09:49.844+00
380,30,A1,5c13a670-a109-44d6-ae66-89d91fea76e8,97,2025-04-29 08:27:33.24+00
381,80,B,5c13a670-a109-44d6-ae66-89d91fea76e8,49,2025-04-29 08:28:30.217+00
382,75,A4,963e82b4-5ca9-472d-b919-fb82cb103018,216,2025-04-29 10:12:06.005+00
383,30,B,963e82b4-5ca9-472d-b919-fb82cb103018,140,2025-04-29 10:14:37.478+00
384,22,A1,893ace95-73b4-4b6c-bf50-c7ea2ed5074d,495,2025-04-29 11:00:31.363+00
385,64,B,893ace95-73b4-4b6c-bf50-c7ea2ed5074d,286,2025-04-29 11:05:26.304+00
386,70,A4,f178bd2a-0f54-449e-9dc3-b3b16d5a5b72,206,2025-04-29 11:25:01.832+00
387,20,B,f178bd2a-0f54-449e-9dc3-b3b16d5a5b72,94,2025-04-29 11:26:43.489+00
388,95,A4,048dd732-a752-4298-916d-68738c23e7bb,385,2025-04-29 11:46:47.591+00
389,94,B,048dd732-a752-4298-916d-68738c23e7bb,424,2025-04-29 11:54:02.987+00
390,19,A1,16e37784-7cdf-486f-9a42-94d3e89751e6,187,2025-04-29 12:04:51.947+00
391,90,B,16e37784-7cdf-486f-9a42-94d3e89751e6,121,2025-04-29 12:07:00.549+00
392,35,A1,df5f3150-0741-47d1-805d-860ddb2fe28e,162,2025-04-29 12:28:16.327+00
393,60,B,df5f3150-0741-47d1-805d-860ddb2fe28e,119,2025-04-29 12:30:24.077+00
394,33,B,ab17eb68-44c4-4155-8d5d-d2b0072f8036,242,2025-04-29 12:48:01.989+00
395,100,A4,ab17eb68-44c4-4155-8d5d-d2b0072f8036,160,2025-04-29 12:50:51.239+00
396,95,A4,44ec87c7-ab92-47eb-b506-bdcb2a2a9481,208,2025-04-29 12:51:49.184+00
397,19,B,44ec87c7-ab92-47eb-b506-bdcb2a2a9481,114,2025-04-29 12:53:56.885+00
398,30,B,589d5a82-a948-4aaa-9691-cd808d08f40c,225,2025-04-29 13:18:45.536+00
399,45,A1,589d5a82-a948-4aaa-9691-cd808d08f40c,17,2025-04-29 13:26:29.439+00
400,75,A1,9d7ec585-27f5-4637-95b9-fc352c94607f,126,2025-04-29 13:38:33.946+00
401,77,B,9d7ec585-27f5-4637-95b9-fc352c94607f,205,2025-04-29 13:42:05.901+00
402,63,A1,4b04068d-d25d-46bd-8691-2e0f56e2b337,247,2025-04-29 13:49:26.9+00
403,31,B,4b04068d-d25d-46bd-8691-2e0f56e2b337,127,2025-04-29 13:51:45.271+00
404,71,B,23fa0029-2760-4768-8301-97ffaafd599d,266,2025-04-29 13:58:14.932+00
405,94,A1,23fa0029-2760-4768-8301-97ffaafd599d,2350,2025-04-29 14:37:37.078+00
406,24,B,fb1c4730-7bc7-43f0-9d9b-918f615b75b1,54,2025-04-29 14:39:18.236+00
407,76,A1,fb1c4730-7bc7-43f0-9d9b-918f615b75b1,19,2025-04-29 14:39:43.983+00
408,97,B,4239bb68-71d7-496c-8a2b-1a232d6e1c4d,19,2025-04-29 14:48:07.575+00
409,85,B,6b35df6c-5f00-458a-abef-436429e50408,75,2025-04-29 14:58:57.872+00
410,50,A1,6b35df6c-5f00-458a-abef-436429e50408,55,2025-04-29 15:00:01.282+00
411,65,B,ce8935e8-91b1-4ce9-b7cf-53134af013cd,290,2025-04-29 16:35:38.777+00
412,25,A1,ce8935e8-91b1-4ce9-b7cf-53134af013cd,243,2025-04-29 16:39:51.115+00
413,18,B,012c6a3b-cc67-4032-af64-bd6f490d39ae,249,2025-04-29 17:13:37.533+00
414,17,A4,012c6a3b-cc67-4032-af64-bd6f490d39ae,16,2025-04-29 17:14:00.98+00
415,67,A4,0c309ae2-9633-4d8b-96b7-8f59d1221370,337,2025-04-29 18:14:44.481+00
416,59,B,0c309ae2-9633-4d8b-96b7-8f59d1221370,51,2025-04-29 18:15:42.777+00
417,100,B,2e1cb657-28d9-4e77-a19b-cafb6bc8c8f3,100,2025-04-29 18:53:16.914+00
418,91,A1,2e1cb657-28d9-4e77-a19b-cafb6bc8c8f3,103,2025-04-29 18:55:08.695+00
419,23,A1,4dc11e96-205f-43ef-8f96-fee1c392f5a6,318,2025-04-29 19:05:38.533+00
420,77,B,ad58705b-a7df-436e-a697-0300153bf06f,219,2025-04-29 19:09:29.584+00
421,40,B,4dc11e96-205f-43ef-8f96-fee1c392f5a6,253,2025-04-29 19:10:03.429+00
422,81,A4,ad58705b-a7df-436e-a697-0300153bf06f,101,2025-04-29 19:11:20.953+00
423,24,A4,95d40025-0e31-4fcf-8841-b6556b458f59,319,2025-04-29 19:28:45.073+00
424,73,B,95d40025-0e31-4fcf-8841-b6556b458f59,222,2025-04-29 19:32:35.342+00
425,80,A1,4e55a8fd-6d6c-4bbc-8edf-7be86e07dc81,153,2025-04-29 19:42:14.599+00
426,91,B,4e55a8fd-6d6c-4bbc-8edf-7be86e07dc81,154,2025-04-29 19:45:04.481+00
427,70,B,87f6105a-538c-4e80-b056-413b716afb98,229,2025-04-29 20:48:18.702+00
428,90,B,b9949d7c-df28-4eea-9f4e-c7f93134b52f,279,2025-04-29 21:18:14.472+00
429,80,A1,b9949d7c-df28-4eea-9f4e-c7f93134b52f,981,2025-04-29 21:34:43.793+00
430,25,B,07489f81-bcb2-4e9c-b726-a79f32af3d1e,296,2025-04-30 06:21:31.417+00
431,35,A1,07489f81-bcb2-4e9c-b726-a79f32af3d1e,422,2025-04-30 06:28:43.207+00
432,35,A4,032dc24e-acfd-412e-98bd-53949ec78373,319,2025-04-30 06:48:43.032+00
433,100,B,032dc24e-acfd-412e-98bd-53949ec78373,160,2025-04-30 06:51:31.803+00
434,90,A4,3cf5b1b8-bc91-4ce3-9476-bf886e202ba7,338,2025-04-30 11:44:00.062+00
435,87,B,3cf5b1b8-bc91-4ce3-9476-bf886e202ba7,240,2025-04-30 11:48:14.021+00
436,75,B,2de9490e-dc96-40de-9b0d-526a10b9e271,251,2025-04-30 12:29:55.757+00
437,40,A1,2de9490e-dc96-40de-9b0d-526a10b9e271,242,2025-04-30 12:35:23.547+00
438,75,B,40ad1c24-85f3-4aa1-82c2-7815e5257b04,258,2025-04-30 12:36:29.529+00
439,94,A4,40ad1c24-85f3-4aa1-82c2-7815e5257b04,136,2025-04-30 12:38:53.224+00
440,50,B,db9e42d0-c61a-48f0-9307-2a840417eeca,40,2025-04-30 12:39:57.232+00
441,50,A1,db9e42d0-c61a-48f0-9307-2a840417eeca,40,2025-04-30 12:40:44.445+00
442,40,A4,acbb3cfe-5785-4584-a539-0fff5b89823d,442,2025-04-30 17:06:25.084+00
443,34,B,acbb3cfe-5785-4584-a539-0fff5b89823d,401,2025-04-30 17:13:13.43+00
444,92,A4,e348dd0e-b32e-4ecf-8587-25b94754be28,324,2025-05-01 09:51:26.562+00
445,28,B,e348dd0e-b32e-4ecf-8587-25b94754be28,329,2025-05-01 09:57:07.179+00
446,85,A4,e9bd7cd2-1a34-468f-aab3-720188b4d483,209,2025-05-01 16:52:37.627+00
447,85,B,e9bd7cd2-1a34-468f-aab3-720188b4d483,106,2025-05-01 16:54:32.068+00
448,75,B,1dc9c374-2d07-473e-8ba3-baba7c8f30f9,200,2025-05-01 18:44:46.648+00
449,80,A1,fc40d620-f34f-4f53-8c69-e30ae4445281,171,2025-05-01 20:25:07.179+00
450,40,B,fc40d620-f34f-4f53-8c69-e30ae4445281,213,2025-05-01 20:28:48.159+00
451,63,B,4cf61990-a46a-4e8e-aa55-57bece601313,363,2025-05-01 20:29:17.292+00
452,79,A1,4cf61990-a46a-4e8e-aa55-57bece601313,335,2025-05-01 20:35:01.077+00
453,33,B,5b7b88dc-a0f9-49b1-aae0-5d726731aa28,495,2025-05-01 20:42:54.342+00
454,25,A4,5b7b88dc-a0f9-49b1-aae0-5d726731aa28,370,2025-05-01 20:49:12.918+00
455,25,B,4be76b32-2cd7-4bbd-ae5b-fcbea63ef66f,429,2025-05-01 21:51:11.3+00
456,20,A1,4be76b32-2cd7-4bbd-ae5b-fcbea63ef66f,541,2025-05-01 22:00:21.313+00
457,85,A1,1943716e-4791-4e58-8f3d-feec9c44985f,274,2025-05-02 05:53:49.962+00
461,100,B,1943716e-4791-4e58-8f3d-feec9c44985f,80,2025-05-02 05:56:14.694+00
462,73,A1,647967e5-3390-41d9-bb69-a3c6d27e8267,298,2025-05-02 07:12:54.671+00
463,55,B,647967e5-3390-41d9-bb69-a3c6d27e8267,184,2025-05-02 07:16:07.399+00
464,0,A4,29c321bd-f4b8-44a9-8b7e-0f6fc6045a49,127,2025-05-02 08:58:23.568+00
465,73,B,29c321bd-f4b8-44a9-8b7e-0f6fc6045a49,47,2025-05-02 08:59:18.499+00
466,85,B,052b3a82-ac3b-4694-90d9-8c5595503f18,122,2025-05-02 08:59:52.552+00
467,30,A1,052b3a82-ac3b-4694-90d9-8c5595503f18,38,2025-05-02 09:00:37.631+00
468,33,B,a53724bf-8bb6-4925-821e-1e427af57306,94,2025-05-02 09:21:41.254+00
469,70,A1,a53724bf-8bb6-4925-821e-1e427af57306,52,2025-05-02 09:22:40.622+00
470,82,A1,26df67fb-41ae-4097-a719-24a07b0fcfec,449,2025-05-02 09:40:39.31+00
471,20,B,26df67fb-41ae-4097-a719-24a07b0fcfec,10,2025-05-02 09:40:57.05+00
472,95,A4,55898c45-b518-491a-8354-cf643988b4c2,28,2025-05-02 09:53:46.74+00
475,73,B,55898c45-b518-491a-8354-cf643988b4c2,15,2025-05-02 09:54:14.653+00
476,78,A1,6a0c7f1c-01b9-44c7-9d6a-cab667dfb8b2,33,2025-05-02 09:55:48.748+00
477,65,B,6a0c7f1c-01b9-44c7-9d6a-cab667dfb8b2,200,2025-05-02 09:59:17.874+00
478,10,B,a6c7acab-97ee-47f0-a778-757e3ff7cbd7,207,2025-05-02 10:00:31.327+00
479,75,A1,a6c7acab-97ee-47f0-a778-757e3ff7cbd7,173,2025-05-02 10:03:40.571+00
480,0,A1,173168e1-c876-4831-bae2-4c6ee0d775e0,23,2025-05-02 11:14:06.27+00
481,0,B,173168e1-c876-4831-bae2-4c6ee0d775e0,12,2025-05-02 11:14:25.923+00
482,70,A4,f3d472d5-b277-40b9-b374-9b17096d43f8,63,2025-05-02 11:22:38.826+00
483,82,B,691b8379-01c1-41a8-95af-485bc13cc592,85,2025-05-02 11:22:42.074+00
484,20,B,f3d472d5-b277-40b9-b374-9b17096d43f8,39,2025-05-02 11:23:26.807+00
485,82,A1,691b8379-01c1-41a8-95af-485bc13cc592,15,2025-05-02 11:23:50.125+00
486,80,A4,0b160b92-cf11-4584-8b86-bc7d9cde66c1,30,2025-05-02 11:37:04.404+00
487,80,B,0b160b92-cf11-4584-8b86-bc7d9cde66c1,133,2025-05-02 11:39:25.008+00
488,97,B,576121b9-480e-4089-9e56-7d0911dbb523,305,2025-05-02 11:44:56.929+00
489,100,A4,08a0bf9f-c539-4e7f-8f82-aebc489e0c21,171,2025-05-02 11:52:49.241+00
490,60,B,08a0bf9f-c539-4e7f-8f82-aebc489e0c21,173,2025-05-02 11:55:49.215+00
491,23,B,6c93fcef-f9ee-4da5-b35c-50fdd437252d,88,2025-05-02 12:04:26.979+00
492,80,B,0b002da5-6880-46ce-a983-4171f60923bd,168,2025-05-02 12:06:45.988+00
493,35,A4,0b002da5-6880-46ce-a983-4171f60923bd,125,2025-05-02 12:09:00.565+00
494,21,A4,d984d838-bc09-451b-9b15-d86eb31a0387,308,2025-05-02 12:28:30.113+00
495,25,B,d984d838-bc09-451b-9b15-d86eb31a0387,277,2025-05-02 12:33:15.039+00
496,95,B,929193cc-7d76-45d1-865a-78cda578ef32,6,2025-05-02 15:55:34.731+00
497,75,A4,41565ba7-fd6f-4de8-835c-dba2b968a32d,210,2025-05-02 17:57:11.079+00
498,60,B,41565ba7-fd6f-4de8-835c-dba2b968a32d,180,2025-05-02 18:00:18.921+00
499,83,B,6faac01f-d02b-4d30-8dd4-f1d72e441692,270,2025-05-02 22:01:53.76+00
500,64,A4,6faac01f-d02b-4d30-8dd4-f1d72e441692,247,2025-05-02 22:06:09.173+00
501,30,A4,8f17778c-bf47-49c9-a04c-48b8e450ece5,130,2025-05-03 08:58:06.736+00
502,65,B,8f17778c-bf47-49c9-a04c-48b8e450ece5,146,2025-05-03 09:00:41.475+00
503,66,B,a12128a4-2d1e-477c-b206-f93ac18d6f17,591,2025-05-03 16:25:37.514+00
504,77,A1,a12128a4-2d1e-477c-b206-f93ac18d6f17,239,2025-05-03 16:29:51.141+00
505,80,B,c5941e56-620e-4845-b2f4-df7136d263a4,136,2025-05-03 20:31:46.833+00
506,34,A1,c5941e56-620e-4845-b2f4-df7136d263a4,151,2025-05-03 20:34:25.782+00
507,85,B,b3402ddd-43f1-447b-8841-c862d0813e4a,231,2025-05-04 06:37:35.54+00
508,15,A1,b3402ddd-43f1-447b-8841-c862d0813e4a,250,2025-05-04 06:41:54.277+00
509,60,A1,78921ce6-9b7c-4d32-adf6-74db38f59ee3,195,2025-05-04 08:45:06.686+00
510,30,B,78921ce6-9b7c-4d32-adf6-74db38f59ee3,185,2025-05-04 08:48:21.901+00
511,13,B,dc79ccfc-0d79-4a20-b801-fb84ecc8a5ea,43,2025-05-04 10:13:15.301+00
512,31,A4,dc79ccfc-0d79-4a20-b801-fb84ecc8a5ea,62,2025-05-04 10:14:25.548+00
513,30,A1,dc79ccfc-0d79-4a20-b801-fb84ecc8a5ea,31,2025-05-04 10:15:10.108+00
514,100,A4,f75efb0f-f648-46fb-95cf-ac24b757aaa4,92,2025-05-04 10:20:00.197+00
515,0,B,f75efb0f-f648-46fb-95cf-ac24b757aaa4,10,2025-05-04 10:20:17.44+00
516,87,B,fa9c8a71-472b-4b89-8145-8b53c7492df7,112,2025-05-04 10:27:08.531+00
517,72,A4,fa9c8a71-472b-4b89-8145-8b53c7492df7,139,2025-05-04 10:29:34.274+00
518,19,B,1063655d-4fc7-4dec-8007-db6256c0427e,171,2025-05-04 10:55:24.056+00
519,37,A4,1063655d-4fc7-4dec-8007-db6256c0427e,203,2025-05-04 10:58:56.307+00
520,76,B,dfd53e7a-6eb9-4eb7-8786-02215f7a82ec,143,2025-05-04 14:28:02.897+00
521,67,A1,dfd53e7a-6eb9-4eb7-8786-02215f7a82ec,176,2025-05-04 14:31:06.759+00
522,66,A4,1dc9c374-2d07-473e-8ba3-baba7c8f30f9,13,2025-05-04 19:21:16.732+00
523,70,A1,10c0a143-c12c-4658-b36c-41efdae7ccf6,82,2025-05-05 11:54:25.741+00
524,100,B,10c0a143-c12c-4658-b36c-41efdae7ccf6,102,2025-05-05 11:56:15.86+00