id,slider_values,article_number,user_id
102,43,B,51455be4-dd16-43bf-b1ac-e18e7fed8773
103,50,A1,51455be4-dd16-43bf-b1ac-e18e7fed8773
104,30,B,00000000-0000-0000-0000-000000000002
105,73,A2,00000000-0000-0000-0000-000000000002
106,47,B,00000000-0000-0000-0000-000000000003
107,4,A3,00000000-0000-0000-0000-000000000003
108,64,B,00000000-0000-0000-0000-000000000004
109,11,A4,00000000-0000-0000-0000-000000000004
110,81,B,00000000-0000-0000-0000-000000000005
111,28,A1,00000000-0000-0000-0000-000000000005
112,98,B,00000000-0000-0000-0000-000000000006
113,45,A2,00000000-0000-0000-0000-000000000006
114,52,B,00000000-0000-0000-0000-000000000007
115,7,A3,00000000-0000-0000-0000-000000000007
116,26,B,00000000-0000-0000-0000-000000000008
117,63,A4,00000000-0000-0000-0000-000000000008
118,77,B,00000000-0000-0000-0000-000000000009
119,24,A1,00000000-0000-0000-0000-000000000009
120,94,B,00000000-0000-0000-0000-000000000010
121,41,A2,00000000-0000-0000-0000-000000000010
122,58,B,00000000-0000-0000-0000-000000000011
123,3,A3,00000000-0000-0000-0000-000000000011
124,67,B,00000000-0000-0000-0000-000000000012
125,12,A4,00000000-0000-0000-0000-000000000012
126,18,B,00000000-0000-0000-0000-000000000013
127,79,A1,00000000-0000-0000-0000-000000000013
128,35,B,00000000-0000-0000-0000-000000000014
129,100,A2,00000000-0000-0000-0000-000000000014
130,56,B,00000000-0000-0000-0000-000000000015
131,13,A3,00000000-0000-0000-0000-000000000015
132,90,B,00000000-0000-0000-0000-000000000016
133,37,A4,00000000-0000-0000-0000-000000000016
134,51,B,00000000-0000-0000-0000-000000000017
135,8,A1,00000000-0000-0000-0000-000000000017
136,61,B,00000000-0000-0000-0000-000000000018
137,16,A2,00000000-0000-0000-0000-000000000018
138,74,B,00000000-0000-0000-0000-000000000019
139,21,A3,00000000-0000-0000-0000-000000000019
140,86,B,00000000-0000-0000-0000-000000000020
141,33,A4,00000000-0000-0000-0000-000000000020
142,59,B,00000000-0000-0000-0000-000000000021
143,6,A1,00000000-0000-0000-0000-000000000021
144,28,B,00000000-0000-0000-0000-000000000022
145,95,A2,00000000-0000-0000-0000-000000000022
146,48,B,00000000-0000-0000-0000-000000000023
147,5,A3,00000000-0000-0000-0000-000000000023
148,66,B,00000000-0000-0000-0000-000000000024
149,23,A4,00000000-0000-0000-0000-000000000024
150,89,B,00000000-0000-0000-0000-000000000025
151,36,A1,00000000-0000-0000-0000-000000000025
152,62,B,00000000-0000-0000-0000-000000000026
153,9,A2,00000000-0000-0000-0000-000000000026
154,44,B,00000000-0000-0000-0000-000000000027
155,1,A3,00000000-0000-0000-0000-000000000027
156,71,B,00000000-0000-0000-0000-000000000028
157,18,A4,00000000-0000-0000-0000-000000000028
158,85,B,00000000-0000-0000-0000-000000000029
159,32,A1,00000000-0000-0000-0000-000000000029
160,99,B,00000000-0000-0000-0000-000000000030
161,46,A2,00000000-0000-0000-0000-000000000030
162,53,B,00000000-0000-0000-0000-000000000031
163,10,A3,00000000-0000-0000-0000-000000000031
164,75,B,00000000-0000-0000-0000-000000000032
165,22,A4,00000000-0000-0000-0000-000000000032
166,34,B,00000000-0000-0000-0000-000000000033
167,91,A1,00000000-0000-0000-0000-000000000033
168,55,B,00000000-0000-0000-0000-000000000034
169,2,A2,00000000-0000-0000-0000-000000000034
170,49,B,00000000-0000-0000-0000-000000000035
171,6,A3,00000000-0000-0000-0000-000000000035
172,79,B,00000000-0000-0000-0000-000000000036
173,26,A4,00000000-0000-0000-0000-000000000036
174,64,B,00000000-0000-0000-0000-000000000037
175,11,A1,00000000-0000-0000-0000-000000000037
176,95,B,00000000-0000-0000-0000-000000000038
177,42,A2,00000000-0000-0000-0000-000000000038
178,54,B,00000000-0000-0000-0000-000000000039
179,1,A3,00000000-0000-0000-0000-000000000039
180,70,B,00000000-0000-0000-0000-000000000040
181,17,A4,00000000-0000-0000-0000-000000000040
182,38,B,00000000-0000-0000-0000-000000000041
183,85,A1,00000000-0000-0000-0000-000000000041
184,99,B,00000000-0000-0000-0000-000000000042
185,46,A2,00000000-0000-0000-0000-000000000042
186,57,B,00000000-0000-0000-0000-000000000043
187,4,A3,00000000-0000-0000-0000-000000000043
188,75,B,00000000-0000-0000-0000-000000000044
189,28,A4,00000000-0000-0000-0000-000000000044
190,91,B,00000000-0000-0000-0000-000000000045
191,36,A1,00000000-0000-0000-0000-000000000045
192,48,B,00000000-0000-0000-0000-000000000046
193,5,A2,00000000-0000-0000-0000-000000000046
194,63,B,00000000-0000-0000-0000-000000000047
195,20,A3,00000000-0000-0000-0000-000000000047
196,88,B,00000000-0000-0000-0000-000000000048
197,31,A4,00000000-0000-0000-0000-000000000048
198,40,B,00000000-0000-0000-0000-000000000049
199,97,A1,00000000-0000-0000-0000-000000000049
200,56,B,00000000-0000-0000-0000-000000000050
201,13,A2,00000000-0000-0000-0000-000000000050
202,24,B,00000000-0000-0000-0000-000000000051
203,81,A3,00000000-0000-0000-0000-000000000051
204,59,B,00000000-0000-0000-0000-000000000052
205,14,A4,00000000-0000-0000-0000-000000000052
206,42,B,00000000-0000-0000-0000-000000000053
207,89,A1,00000000-0000-0000-0000-000000000053
208,54,B,00000000-0000-0000-0000-000000000054
209,3,A2,00000000-0000-0000-0000-000000000054
210,66,B,00000000-0000-0000-0000-000000000055
211,25,A3,00000000-0000-0000-0000-000000000055
212,79,B,00000000-0000-0000-0000-000000000056
213,16,A4,00000000-0000-0000-0000-000000000056
214,95,B,00000000-0000-0000-0000-000000000057
215,34,A1,00000000-0000-0000-0000-000000000057
216,53,B,00000000-0000-0000-0000-000000000058
217,8,A2,00000000-0000-0000-0000-000000000058
218,29,B,00000000-0000-0000-0000-000000000059
219,86,A3,00000000-0000-0000-0000-000000000059
220,60,B,00000000-0000-0000-0000-000000000060
221,7,A4,00000000-0000-0000-0000-000000000060
222,84,B,00000000-0000-0000-0000-000000000061
223,39,A1,00000000-0000-0000-0000-000000000061
224,92,B,00000000-0000-0000-0000-000000000062
225,45,A2,00000000-0000-0000-0000-000000000062
226,31,B,00000000-0000-0000-0000-000000000063
227,90,A3,00000000-0000-0000-0000-000000000063
228,55,B,00000000-0000-0000-0000-000000000064
229,2,A4,00000000-0000-0000-0000-000000000064
230,73,B,00000000-0000-0000-0000-000000000065
231,22,A1,00000000-0000-0000-0000-000000000065
232,49,B,00000000-0000-0000-0000-000000000066
233,4,A2,00000000-0000-0000-0000-000000000066
234,61,B,00000000-0000-0000-0000-000000000067
235,18,A3,00000000-0000-0000-0000-000000000067
236,86,B,00000000-0000-0000-0000-000000000068
237,35,A4,00000000-0000-0000-0000-000000000068
238,46,B,00000000-0000-0000-0000-000000000069
239,99,A1,00000000-0000-0000-0000-000000000069
240,53,B,00000000-0000-0000-0000-000000000070
241,12,A2,00000000-0000-0000-0000-000000000070
242,33,B,00000000-0000-0000-0000-000000000071
243,90,A3,00000000-0000-0000-0000-000000000071
244,68,B,00000000-0000-0000-0000-000000000072
245,21,A4,00000000-0000-0000-0000-000000000072
246,79,B,00000000-0000-0000-0000-000000000073
247,28,A1,00000000-0000-0000-0000-000000000073
248,92,B,00000000-0000-0000-0000-000000000074
249,43,A2,00000000-0000-0000-0000-000000000074
250,59,B,00000000-0000-0000-0000-000000000075
251,6,A3,00000000-0000-0000-0000-000000000075
252,14,B,00000000-0000-0000-0000-000000000076
253,71,A4,00000000-0000-0000-0000-000000000076
254,88,B,00000000-0000-0000-0000-000000000077
255,27,A1,00000000-0000-0000-0000-000000000077
256,95,B,00000000-0000-0000-0000-000000000078
257,50,A2,00000000-0000-0000-0000-000000000078
258,65,B,00000000-0000-0000-0000-000000000079
259,10,A3,00000000-0000-0000-0000-000000000079
260,76,B,00000000-0000-0000-0000-000000000080
261,39,A4,00000000-0000-0000-0000-000000000080
262,58,B,00000000-0000-0000-0000-000000000081
263,5,A1,00000000-0000-0000-0000-000000000081
264,30,B,00000000-0000-0000-0000-000000000082
265,87,A2,00000000-0000-0000-0000-000000000082
266,41,B,00000000-0000-0000-0000-000000000083
267,96,A3,00000000-0000-0000-0000-000000000083
268,52,B,00000000-0000-0000-0000-000000000084
269,15,A4,00000000-0000-0000-0000-000000000084
270,72,B,00000000-0000-0000-0000-000000000085
271,27,A1,00000000-0000-0000-0000-000000000085
272,90,B,00000000-0000-0000-0000-000000000086
273,35,A2,00000000-0000-0000-0000-000000000086
274,43,B,00000000-0000-0000-0000-000000000087
275,2,A3,00000000-0000-0000-0000-000000000087
276,57,B,00000000-0000-0000-0000-000000000088
277,10,A4,00000000-0000-0000-0000-000000000088
278,85,B,00000000-0000-0000-0000-000000000089
279,34,A1,00000000-0000-0000-0000-000000000089
280,60,B,00000000-0000-0000-0000-000000000090
281,17,A2,00000000-0000-0000-0000-000000000090
282,74,B,00000000-0000-0000-0000-000000000091
283,31,A3,00000000-0000-0000-0000-000000000091
284,46,B,00000000-0000-0000-0000-000000000092
285,99,A4,00000000-0000-0000-0000-000000000092
286,52,B,00000000-0000-0000-0000-000000000093
287,13,A1,00000000-0000-0000-0000-000000000093
288,68,B,00000000-0000-0000-0000-000000000094
289,25,A2,00000000-0000-0000-0000-000000000094
290,89,B,00000000-0000-0000-0000-000000000095
291,48,A3,00000000-0000-0000-0000-000000000095
292,36,B,00000000-0000-0000-0000-000000000096
293,95,A4,00000000-0000-0000-0000-000000000096
294,77,B,00000000-0000-0000-0000-000000000097
295,24,A1,00000000-0000-0000-0000-000000000097
296,59,B,00000000-0000-0000-0000-000000000098
297,14,A2,00000000-0000-0000-0000-000000000098
298,73,B,00000000-0000-0000-0000-000000000099
299,42,A3,00000000-0000-0000-0000-000000000099
300,63,B,00000000-0000-0000-0000-000000000100
301,20,A4,00000000-0000-0000-0000-000000000100
